50
0	2332	2352	2591	2668	3107	3254	3650	4105	4612	1494	955	2340	2246	1566	2214	2235	1751	2763	2020	1268	1254	2598	3246	3824	3862	3812	4204	3506	3361	2241	2996	3226	2427	2513	4754	3407	3968	4606	4459	4949	5175	5784	5975	5172	5613	6854	6502	7107	6917
2359	0	732	259	510	775	922	1318	1773	2280	3078	2507	4147	4117	2895	2400	3546	1941	2949	2206	2324	2310	2784	2344	2439	2477	2929	4390	2123	2148	4113	4384	5157	3819	3905	6204	4799	4154	6055	4645	6399	6625	7234	15499	6565	6039	15435	12818	15289	13425
2374	732	0	802	607	1507	1654	2050	2505	3012	2521	1949	3505	3286	2064	2018	2732	1559	2567	1825	1766	1752	2402	2152	3171	3209	3617	4008	1931	1956	3281	4002	4775	3438	3524	5822	4417	3772	5674	4263	6017	6243	6852	7043	6183	5657	7922	7681	8176	16062
2618	259	802	0	333	555	702	1098	1552	2060	3179	2608	4406	3896	2674	2179	3325	1720	2728	1986	2424	2410	2563	2123	2218	2256	2708	4169	1902	1927	3892	4163	4936	3598	3685	5983	4578	3933	5835	4424	6178	6404	7013	15278	6344	5818	15214	12598	15069	13204
2668	510	607	333	0	789	936	1332	1787	2294	3124	2553	4042	3573	2350	1855	3002	1396	2405	1662	2369	2355	2239	1837	2453	2491	3454	3846	1615	1641	3568	3839	4613	3275	3361	5659	4255	3610	5511	4100	5854	6081	6690	6880	6020	5494	7760	7518	8013	13438
3175	956	1435	735	1120	0	353	744	978	1932	3156	3005	4174	3705	2482	1988	3134	1529	2537	1794	2584	2571	2371	1569	2066	2104	2154	3978	1347	1373	3700	3971	4745	3407	3493	5792	4387	3742	5643	4232	5987	6213	6822	7012	6152	5626	7892	7650	8145	7954
3295	936	1618	715	988	354	0	391	847	1583	3517	3366	4535	4065	2843	2348	3494	1889	2898	2155	2945	2931	2732	1929	1512	1550	2514	4338	1687	1733	4061	4332	5105	3768	3854	6152	4747	4102	6004	4593	6347	6573	7182	14801	6513	5987	14737	12121	14592	12727
3663	1304	1987	1084	1357	745	391	0	458	1188	3901	3750	4919	4449	3227	2732	3878	2273	3281	2538	3329	3315	3116	2759	1121	1159	2598	2620	1296	1321	4445	4716	5489	4151	4238	6536	5131	4486	6388	4977	6731	6957	7566	14406	6897	6371	14342	11726	14197	12332
4119	1760	2443	1539	1812	978	847	459	0	504	4134	3983	5152	4682	3460	2965	4111	2506	3514	2771	3562	3548	3349	2992	1354	1392	2831	5131	1529	1554	4678	4949	5722	4384	4470	6769	5364	4719	6621	5210	6964	14322	14018	13521	7130	10665	13457	10840	13311	11447
4626	2267	2950	2047	2319	1975	1583	1185	504	0	4640	4489	5658	5189	3966	3472	4618	3013	4021	3278	4068	4055	3856	3707	1858	1896	4798	4626	2033	2058	5184	5455	6229	4891	4977	7276	5871	5226	14523	5716	7471	13817	13513	13015	10881	10159	12951	10335	12806	10941
1954	3911	3900	4170	4247	4687	4834	5230	5684	6192	0	2327	985	1529	2249	2427	2097	3123	3022	2877	2640	2626	3129	3516	4681	4719	3960	4352	4363	4218	1253	1642	2071	1921	2008	3708	2901	3750	3560	3566	3903	4130	4739	4929	4667	5108	5809	5567	6062	5871
1299	2023	1573	2282	2177	2798	2945	3341	3796	4303	1068	0	2053	1833	611	1259	1280	796	1808	1065	313	299	1643	2291	2869	2907	2857	3249	2551	2406	1829	2178	4016	2678	2764	5063	3658	3013	4915	3504	5258	5484	6093	6284	5424	4898	7163	6921	7416	7226
2662	4506	4056	4765	4307	4521	4667	5063	5710	6196	1667	3384	0	853	2468	2645	2315	3117	3241	3096	2634	2620	3347	3734	4900	4938	4178	4570	4582	4437	746	657	1080	1558	1644	3202	2449	2729	3053	3124	3396	3623	4232	4422	4215	4656	5302	5060	5555	5364
2400	3811	3361	4070	3612	3825	3972	4368	5014	5500	1128	1816	1660	0	1772	1950	1620	2421	2545	2400	1939	1925	2652	3039	4204	4242	3483	3549	3886	3742	107	492	1719	1019	1105	2662	1910	2190	2514	2584	2857	3083	3692	3883	3675	4117	4762	4521	5016	4825
2127	2941	2492	3200	3095	2932	3864	4260	3930	4437	1052	919	1692	1222	0	999	669	1447	1594	1449	964	950	1701	2088	3253	3291	2532	2924	2935	2790	1218	1567	2815	1477	1564	3738	2457	2688	3589	3178	3933	4159	4768	4959	4223	4664	5838	5553	6091	5900
1746	2469	2020	2728	1613	1826	1973	2369	2824	3331	1168	1018	2153	1925	778	0	1447	341	1353	610	597	584	1188	1837	2414	2452	2402	2794	2096	1951	1920	2262	3561	2106	2192	4608	3085	2558	4460	3049	4803	5029	5638	5829	4851	4443	6708	6467	6961	6771
2590	2609	2155	2229	1992	2205	2352	2748	3394	3881	1994	1863	2638	2169	946	806	0	1113	926	781	1442	1428	1032	1419	2584	2622	1863	2255	2266	2122	2164	2249	3022	1684	1770	4069	2664	2019	3920	2509	4264	4490	5099	5290	4429	3904	6169	5927	6422	6232
1646	1889	1920	1509	1272	1485	1632	2028	2483	2990	1792	1221	2907	2437	1215	720	1866	0	1269	526	1038	1024	1104	1752	2330	2368	2318	2710	2012	1867	2433	2704	3477	2139	2225	4524	3119	2474	4376	2965	4719	4945	5554	5745	4885	4359	6624	6383	6877	6687
2452	2303	1848	1923	1686	1899	2046	2442	3088	3574	2434	2283	3452	2983	1760	1266	2412	806	0	474	1862	1849	1052	1701	2278	2316	2290	2771	1960	1815	2978	3249	4023	2685	2771	5070	3665	3004	4921	3494	5264	5491	6100	6290	5430	4888	7170	6928	7423	7232
2271	1828	1374	1448	1211	1425	1572	1968	2614	3100	2253	2102	3662	3193	1970	1084	2481	625	743	0	1681	1667	578	1226	2034	1842	1816	2297	1486	1341	3188	3319	4092	2754	2840	5139	3734	2529	4991	3020	5334	5560	6169	6360	5500	4414	7239	6998	7492	7302
1520	2244	1794	2503	1755	1968	2115	2511	2966	3473	2114	1964	3132	2663	1441	946	2092	483	1495	752	0	898	1330	1978	2556	2594	2544	2936	2238	2093	2658	2930	3703	2365	2451	4750	3345	2700	4601	3190	4945	5171	5780	5971	5110	4585	6850	6608	7103	6913
1534	2258	1808	2517	1768	1982	2129	2525	2979	3487	2128	1977	3146	2677	1454	960	2106	496	1509	766	14	0	1343	1992	2570	2608	2558	2950	2252	2107	2672	2943	3717	2379	2465	4764	3359	2714	4615	3204	4958	5185	5794	5984	5124	4598	6864	6622	7117	6926
2658	2215	1761	1835	1598	1812	1959	2355	2809	3317	2742	2611	3386	2917	1695	1471	2205	1012	467	942	2190	2176	0	676	1587	1625	1278	1759	1346	1319	2912	3043	3816	2479	2565	4863	3458	2254	4715	2744	5058	5284	5893	6084	5224	4138	6963	6722	7217	7026
3214	2771	2317	2391	2154	1561	1496	1887	2120	2624	3036	2905	3680	3211	1989	1848	2500	1568	1023	1497	2484	2470	858	0	1177	1215	595	1077	833	859	3207	3337	4110	2773	2859	5157	3752	2548	5009	3038	5352	5579	6187	6378	5518	4432	7257	7016	7511	7320
4337	2856	3440	2635	2908	2079	2014	1552	1354	1858	4392	4261	5036	4567	3344	3203	3855	2691	2379	2853	3840	3826	2213	1715	0	396	1554	1576	1081	1106	4562	4693	5466	4128	4214	6513	5108	3903	6365	4394	6708	6934	7543	7734	6874	5788	8613	8372	8867	8676
