20
0	898	1330	1978	2556	2594	2544	2936	2238	2093	2658	2930	3703	2365	2451	4750	3345	2700	4601	3190
14	0	1343	1992	2570	2608	2558	2950	2252	2107	2672	2943	3717	2379	2465	4764	3359	2714	4615	3204
2190	2176	0	676	1587	1625	1278	1759	1346	1319	2912	3043	3816	2479	2565	4863	3458	2254	4715	2744
2484	2470	858	0	1177	1215	595	1077	833	859	3207	3337	4110	2773	2859	5157	3752	2548	5009	3038
3840	3826	2213	1715	0	396	1554	1576	1081	1106	4562	4693	5466	4128	4214	6513	5108	3903	6365	4394
3565	3551	1808	1828	189	0	1666	1689	685	711	4675	4806	5579	4241	4327	6626	5221	4016	6477	4507
2726	2712	1180	601	1216	1254	0	480	1008	1033	3408	3362	4135	2797	2883	5182	3777	2579	5034	2674
3208	3194	1762	1183	1289	1327	480	0	1488	1513	3773	3726	4500	3162	3248	5546	4142	2943	5398	3038
2670	2657	1529	1065	707	736	1008	1489	0	25	4016	4147	4920	3583	3669	5967	4562	3358	5819	3501
2781	2767	1639	1176	682	711	1118	1600	216	0	4127	4168	4941	3603	3689	5988	4583	3468	5839	3612
1831	1818	2545	2931	4097	4135	3375	3442	3779	3634	0	384	1611	911	997	2555	1802	2082	2406	2477
1971	1957	2684	3071	4236	4274	3515	3581	3918	3773	238	0	1294	1050	1137	2694	1941	2221	2546	2616
2503	2489	3038	3463	4604	4642	3650	3749	4286	4141	992	753	0	1104	1190	2748	1995	2275	2599	2670
1495	1481	2030	2456	3597	3635	2642	2742	3278	3134	1246	1199	1973	0	86	2175	1094	1468	2026	1760
1581	1568	2116	2542	3683	3721	2728	2828	3365	3220	1332	1285	2059	86	0	2089	1008	1382	1940	1673
4042	4028	4577	5002	6143	6181	5188	5288	5825	5680	2371	2133	2192	2857	2771	0	1635	2561	759	2310
2636	2622	3171	3596	4737	4775	3782	3882	4419	4274	2386	2340	3113	1451	1365	1574	0	1155	1426	665
2539	2525	2272	2697	3838	3876	2288	2388	3520	3376	2359	2312	3085	1423	1337	2186	1074	0	2038	723
3574	3560	4109	4534	5675	5713	4721	4820	5357	5213	2365	2127	2186	2389	2303	740	1168	2094	0	1843
2943	2930	2657	2998	4223	4261	2642	2742	3905	3761	2694	2648	3421	1759	1673	2081	928	612	1933	0
